Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Employed,25-34,High School,Technology,Urban,Unknown,Unknown,40700,2023-01-01
Employed,18-24,Diploma,Fintech,Rural,Medium,Unknown,17500,2023-02-01
Employed,25-34,High School,Retail,Delhi,Low,16,77600,2023-03-01
Unemployed,18-24,Master’s,Retail,Urban,Low,30,100200,2023-04-01
Unknown,45-54,Diploma,Fintech,Hyderabad,Low,9,19500,2023-05-01
Unemployed,25-34,PhD,Technology,Bangalore,High,Unknown,54500,2023-06-01
Employed,35-44,Master’s,unknown,Mumbai,Medium,20,136500,2023-07-01
Unemployed,35-44,Master’s,unknown,Rural,Low,28,25300,2023-08-01
Employed,35-44,PhD,Retail,Unknown,Medium,0,103600,2023-09-01
Unemployed,55+,PhD,Technology,Unknown,Unknown,3,126500,2023-10-01
Unemployed,45-54,Master’s,unknown,Bangalore,High,Unknown,73400,2023-11-01
Unemployed,45-54,High School,Technology,Delhi,High,Unknown,27000,2023-12-01
Unemployed,35-44,High School,Retail,Delhi,Unknown,Unknown,33200,
Employed,18-24,PhD,Technology,Rural,Low,Unknown,121700,
Unknown,45-54,High School,Healthcare,Urban,Low,Unknown,132100,
Unemployed,18-24,Bachelor's,Healthcare,Bangalore,Medium,18,28700,
Employed,25-34,High School,Retail,Urban,Low,Unknown,109300,
Employed,18-24,PhD,Technology,Rural,Unknown,6,136000,
Unemployed,25-34,Unknown,Fintech,Rural,Low,Unknown,62400,
Employed,18-24,Unknown,Retail,Delhi,Medium,0,101100,
Unemployed,35-44,High School,unknown,Hyderabad,Low,Unknown,108000,
Unemployed,18-24,Unknown,Healthcare,Delhi,Medium,5,128000,
Unknown,35-44,Bachelor's,Healthcare,Hyderabad,High,5,125000,
Employed,Unknown,Master’s,Retail,Delhi,Unknown,Unknown,33200,
Unemployed,25-34,PhD,Technology,Hyderabad,Medium,24,107700,
Unemployed,Unknown,Master’s,Healthcare,Bangalore,Low,18,33200,
Employed,18-24,Unknown,Technology,Rural,Medium,Unknown,59000,
Unemployed,18-24,Unknown,Healthcare,Delhi,Medium,12,132200,
Unemployed,35-44,Bachelor's,Education,Suburban,Unknown,22,80800,
Employed,18-24,Master’s,Healthcare,Urban,Low,15,13300,
Unemployed,18-24,Unknown,Healthcare,Unknown,High,Unknown,23500,
Unemployed,25-34,High School,Technology,Hyderabad,High,Unknown,13100,2023-01-02
Employed,25-34,High School,Finance,Urban,High,2,134500,2023-02-02
Unemployed,45-54,PhD,unknown,Urban,Low,8,86800,2023-03-02
Employed,18-24,Master’s,Finance,Unknown,Medium,Unknown,31200,2023-04-02
Employed,55+,Unknown,Fintech,Unknown,Low,Unknown,106900,2023-05-02
Unknown,18-24,PhD,Retail,Bangalore,High,Unknown,93300,2023-06-02
Employed,18-24,High School,Fintech,Unknown,Low,Unknown,73500,2023-07-02
Unemployed,25-34,Diploma,Healthcare,Unknown,High,9,21500,2023-08-02
Unemployed,18-24,High School,Finance,Unknown,Medium,Unknown,33200,2023-09-02
Employed,45-54,High School,Healthcare,Unknown,Low,3,33200,2023-10-02
Employed,25-34,Bachelor's,Fintech,Delhi,Low,25,7700,2023-11-02
Unemployed,45-54,Master’s,Technology,Hyderabad,Low,10,12900,2023-12-02
Unknown,25-34,PhD,Retail,Bangalore,Medium,1,31800,
Employed,25-34,High School,Healthcare,Hyderabad,Medium,11,97900,
Unemployed,18-24,PhD,Fintech,Rural,Medium,4,14200,
Unemployed,25-34,PhD,Retail,Suburban,High,17,106500,
Unknown,25-34,Diploma,Education,Delhi,Low,Unknown,39500,
